No.,Province,,,<5000,<10000,<25000,<50000,<75000,<100000,6W,<5000,<10000,<25000,<50000,<75000,<100000,<150000,<200000,<250000,<300000
1,อำนาจเจริญ,Amnat Charoen,"6,500","6,500","6,500","6,000","5,135","3,900","2,795","13,000","13,000","13,000","13,000","12,220","11,700","10,140","7,930","6,240","5,200",0
2,อ่างทอง,Ang Thong,"2,000","2,000","1,200",800,400,0,0,"4,000","3,500","3,500","2,500","1,500","1,000",0,0,0,0,0
3,กรุงเทพมหานคร,Bangkok,"1,500",500,300,0,0,0,0,"3,500","1,000",800,500,0,0,0,0,0,0,0
4,บึงกาฬ,Bueng Kan,"8,000","8,000","8,000","7,500","6,560","5,040","3,920","16,000","16,000","16,000","16,000","16,000","16,000","1,440","10,720","10,240","8,320",0
5,บุรีรัมย์,Buriram,"4,000","4,000","4,000","3,500","2,760",0,0,"9,500","9,500","9,500","9,500","8,265","7,220","6,080","4,560",0,0,0
6,ฉะเชิงเทรา,Chachoengsao,"2,000","2,000","1,200",800,400,0,0,"4,000","3,500","3,500","2,500","1,500","1,000",0,0,0,0,0
7,ชัยนาท,Chai Nat,"2,500","2,500","2,500","2,000","1,500",0,0,"6,000","6,000","6,000","5,200","4,800","3,600","2,400",0,0,0,0
8,จันทบุรี,Chanthaburi,"1,500",700,500,0,0,0,0,"3,000","2,000","1,500","1,000",0,0,0,0,0,0,0
9,ชัยภูมิ,Chayaphum,"3,500","3,500","3,500","3,000","2,310",0,0,"8,500","8,500","8,500","8,000","7,225","6,120","5,100","3,740",0,0,0
10,เชียงใหม่,Chiang Mai,"7,500","7,500","7,500","7,000","6,075","4,650","3,525","15,000","15,000","15,000","15,000","14,700","14,700","12,900","9,750","9,000","7,200",0
11,แม่สาย,Chiang Rai,"9,000","9,000","9,000","8,500","7,560","5,850","4,770","19,000","19,000","19,000","19,000","19,000","19,000","18,050","14,440","14,440","11,400","7,600"
12,เชียงราย,Chiang Rai,"8,000","8,000","8,000","7,500","6,560","5,040","3,920","18,000","18,000","18,000","18,000","18,000","18,000","16,920","12,960","12,960","10,800","7,200"
13,พัทยา,Chon Buri,"2,500","2,500","2,500","2,000","1,500",0,0,"6,000","6,000","6,000","5,200","4,800","3,600","2,400",0,0,0,0
14,ชลบุรี,Chon Buri,"2,500","2,500","2,500","2,000","1,500",0,0,"6,000","6,000","6,000","5,200","4,800","3,600","2,400",0,0,0,0
15,ชุมพร,Chumphon,"6,500","6,500","6,500","6,000","5,135","3,900","2,795","12,000","12,000","12,000","12,000","11,040","10,320","8,880","6,960","5,040",0,0
16,กาฬสินธุ์,Kalasin,"5,500","5,500","5,500","5,000","4,180","3,080","2,090","13,000","13,000","13,000","13,000","12,220","11,700","10,140","7,930","6,240","5,200",0
17,กำแพงเพชร,Kamphaeng Phet,"4,000","4,000","4,000","3,500","2,760",0,0,"8,500","8,500","8,500","8,000","7,225","6,120","5,100","3,740",0,0,0
18,กาญจนบุรี,Kanchanaburi,"2,500","2,500","2,500","2,000","1,500",0,0,"7,000","7,000","7,000","6,000","5,340","4,620","3,360",0,0,0,0
19,บ้านไผ่,Khon Kaen,"4,000","4,000","4,000","3,500","2,760",0,0,"10,000","10,000","10,000","10,000","8,800","7,800","6,600","5,000","3,000",0,0
20,พล,Khon Kaen,"3,500","3,500","3,500","3,000","2,310",0,0,"9,500","9,500","9,500","9,500","8,265","7,220","6,080","4,560",0,0,0
21,ขอนแก่น,Khon Kaen,"5,000","5,000","5,000","4,500","3,700","2,700",0,"11,000","11,000","11,000","11,000","9,900","9,020","7,700","5,940","3,960",0,0
22,กระบี่,Krabi,"8,500","8,500","8,500","8,000","7,055","5,440","4,335","18,000","18,000","18,000","18,000","18,000","18,000","16,920","12,960","12,960","10,800","7,200"
23,ลำปาง,Lampang,"6,500","6,500","6,500","6,000","5,135","3,900","2,795","13,500","13,500","13,500","13,500","12,825","12,420","10,800","8,370","6,885","5,670",0
24,ลำพูน,Lamphun,"7,000","7,000","7,000","6,500","5,600","4,270","3,150","14,000","14,000","14,000","14,000","13,440","13,160","11,480","8,820","7,560","6,160",0
25,เลย,Loei,"6,000","6,000","6,000","5,500","4,680","3,480","2,460","12,000","12,000","12,000","12,000","11,040","10,320","8,880","6,960","5,040",0,0
26,ลพบุรี,Lopburi,"2,000","2,000","1,200",800,400,0,0,"5,000","5,000","5,000","4,300","3,700","3,000","2,000",0,0,0,0
27,แม่ฮ่องสอน,Mae Hong Son,"10,000","10,000","10,000","9,500","9,000","6,700","5,700","20,000","20,000","20,000","20,000","20,000","20,000","19,000","16,000","16,000","12,000","8,000"
28,มหาสารคาม,Maha Sarakham,"5,000","5,000","5,000","4,500","3,700","2,700",0,"12,000","12,000","12,000","12,000","11,040","10,320","8,880","6,960","5,040",0,0
29,มุกดาหาร,Mukdahan,"7,000","7,000","7,000","6,500","5,600","4,270","3,150","14,500","14,500","14,500","14,500","14,065","13,920","12,180","9,280","8,265","6,670",0
30,นครนายก,Nakhon Nayok,"2,500","2,500","2,500","2,000","1,500",0,0,"4,500","4,500","4,500","3,800","3,400","3,000","2,000",0,0,0,0
31,นครปฐม,Nakhon Pathom,"2,000","1,500","1,200",800,400,0,0,"4,000","3,500","3,500","2,500","1,500","1,000",0,0,0,0,0
32,นครพนม,Nakhon Phanom,"8,000","8,000","8,000","7,500","6,560","5,040","3,920","16,000","16,000","16,000","16,000","16,000","16,000","14,400","10,720","10,240","8,320",0
33,ปากช่อง,Nakhon Ratchasima,"2,500","2,500","2,500","2,000","1,500",0,0,"5,000","5,000","5,000","4,300","3,700","3,000","2,000",0,0,0,0
34,นครราชสีมา,Nakhon Ratchasima,"3,000","3,000","3,000","2,500","1,890",0,0,"7,000","7,000","7,000","6,000","5,340","4,620","3,360",0,0,0,0
35,นครสวรรค์,Nakhon Sawan,"3,000","3,000","3,000","2,500","1,890",0,0,"7,000","7,000","7,000","6,000","5,340","4,620","3,360",0,0,0,0
36,นครศรีธรรมราช,Nakhon Si Thammarat,"9,000","9,000","9,000","8,500","7,560","5,850","4,770","18,000","18,000","18,000","18,000","18,000","18,000","16,920","12,960","12,960","10,800","7,200"
37,น่าน,Nan,"7,500","7,500","7,500","7,000","6,075","4,650","3,525","14,500","14,500","14,500","14,500","14,065","13,920","12,180","9,280","8,265","6,670",0
38,นราธิวาส,Narathiwat,"12,000","12,000","12,000","11,500","10,800","8,400","7,200","25,000","25,000","25,000","25,000","23,000","23,000","21,850","20,700","18,400","13,800","9,200"
39,หนองบัวลำภู,Nong Bua Lam Phu,"6,500","6,500","6,500","6,000","5,135","3,900","2,795","13,000","13,000","13,000","13,000","12,220","11,700","10,140","7,930","6,240","5,200",0
40,หนองคาย,Nong Khai,"7,000","7,000","7,000","6,500","5,600","4,270","3,150","14,000","14,000","14,000","14,000","13,440","13,160","11,480","8,820","7,560","6,160",0
41,นนทบุรี,Nonthaburi,"1,500",500,300,0,0,0,0,"3,500","1,500","1,300",800,500,0,0,0,0,0,0
42,ปทุมธานี,Pathum Thani,"1,500",500,300,0,0,0,0,"3,500","1,500","1,300",800,500,0,0,0,0,0,0
43,ปัตตานี,Pattani,"11,500","11,500","11,500","11,000","10,350","8,050","6,785","22,000","22,000","22,000","22,000","22,000","22,000","20,900","19,360","17,600","13,200","8,800"
44,พังงา,Phang-Nga,"9,500","9,500","9,500","9,000","8,075","6,270","5,225","18,000","18,000","18,000","18,000","18,000","18,000","16,920","12,960","12,960","10,800","7,200"
45,พัทลุง,Phatthalung,"10,000","10,000","10,000","9,500","9,000","6,700","5,700","19,000","19,000","19,000","19,000","19,000","19,000","18,050","14,440","14,440","11,400","7,600"
46,พะเยา,Phayao,"7,500","7,500","7,500","7,000","6,075","4,650","3,525","15,000","15,000","15,000","15,000","14,700","14,700","12,900","9,750","9,000","7,200",0
47,เพชรบูรณ์,Phetchabun,"4,000","4,000","4,000","3,500","2,760",0,0,"8,500","8,500","8,500","8,000","7,225","6,120","5,100","3,740",0,0,0
48,เพชรบุรี,Phetchaburi,"2,800","2,800","2,500","2,000","1,000",0,0,"5,000","5,000","5,000","4,300","3,700","3,000","2,000",0,0,0,0
49,พิจิตร,Phichit,"4,000","4,000","4,000","3,500","2,760",0,0,"8,500","8,500","8,500","8,000","7,225","6,120","5,100","3,740",0,0,0
50,พิษณุโลก,Phitsanulok,"4,000","4,000","4,000","3,500","2,760",0,0,"9,000","9,000","9,000","9,000","7,740","6,660","5,580","4,140",0,0,0
51,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,"1,600","1,600",600,400,0,0,0,"3,500","2,500","2,000","1,500","1,000",500,0,0,0,0,0
52,แพร่,Phrae,"6,000","6,000","6,000","5,500","4,680","3,480","2,460","13,000","13,000","13,000","13,000","12,220","11,700","10,140","7,930","6,240","5,200",0
53,ภูเก็ต,Phuket,"10,000","10,000","10,000","9,500","9,000","6,700","5,700","18,000","18,000","18,000","18,000","18,000","18,000","16,920","12,960","12,960","10,800","7,200"
54,ปราจีนบุรี,Prachin Buri,"3,000","3,000","3,000","2,500","1,890",0,0,"5,000","5,000","5,000","4,300","3,700","3,000","2,000",0,0,0,0
55,หัวหิน,Prachuap Khiri Khan,"4,500","4,500","4,500","4,000","3,240","2,340",0,"7,000","7,000","7,000","6,000","5,340","4,620","3,360",0,0,0,0
56,ประจวบคีรีขันธ์,Prachuap Khiri Khan,"4,500","4,500","4,500","4,000","3,240","2,340",0,"7,500","7,500","7,500","7,000","6,225","5,100","3,900","3,000",0,0,0
57,ระนอง,Ranong,"7,500","7,500","7,500","7,000","6,075","4,650","3,525","13,000","13,000","13,000","13,000","12,220","11,700","10,140","7,930","6,240","5,200",0
58,ราชบุรี,Ratchaburi,"2,300","2,300","2,000","1,500","1,000",0,0,"5,000","5,000","5,000","4,300","3,700","3,000","2,000",0,0,0,0
59,ระยอง,Rayong,"2,000","2,000","1,200",800,400,0,0,"4,000","3,000","3,000","2,000","1,000",0,0,0,0,0,0
60,ร้อยเอ็ด,Roi Et,"5,500","5,500","5,500","5,000","4,180","3,080","2,090","12,000","12,000","12,000","12,000","11,040","10,320","8,880","6,960","5,040",0,0
61,สระแก้ว,Sa Kaeo,"2,000","1,500","1,200",800,400,0,0,"4,000","3,000","3,000","2,000","1,000",0,0,0,0,0,0
62,สกลนคร,Sakon Nakhon,"7,000","7,000","7,000","6,500","5,600","4,270","3,150","14,500","14,500","14,500","14,500","14,065","13,920","12,180","9,280","8,265","6,670",0
63,สมุทรปราการ,Samut Prakan,"1,700",800,600,400,0,0,0,"4,000","2,500","2,000","1,500","1,000",500,0,0,0,0,0
64,สมุทรสาคร,Samut Sakhon,"2,000","1,500","1,200",800,400,0,0,"4,000","2,500","2,000","1,500","1,000",500,0,0,0,0,0
65,สมุทรสงคราม,Samut Songkhram,"2,300","1,600","1,300",800,400,0,0,"4,000","3,500","3,000","2,500","1,500","1,000",0,0,0,0,0
66,สระบุรี,Saraburi,"1,600","1,600","1,200",800,0,0,0,"3,500","3,000","3,000","2,300","1,300",800,0,0,0,0,0
67,สตูล,Satun,"11,000","11,000","11,000","10,500","9,900","7,590","6,435","21,000","21,000","21,000","21,000","21,000","21,000","19,950","17,640","16,800","12,600","8,400"
68,ศรีสะเกษ,Si Sa Ket,"6,500","6,500","6,500","6,000","5,135","3,900","2,795","13,000","13,000","13,000","13,000","12,220","11,700","10,140","7,930","6,240","5,200",0
69,สิงห์บุรี,Sing Buri,"2,000","1,500","1,200",800,400,0,0,"5,000","5,000","5,000","4,300","3,700","3,000","2,000",0,0,0,0
70,หาดใหญ่,Songkhla,"11,000","11,000","11,000","10,500","9,900","7,590","6,435","20,000","20,000","20,000","20,000","20,000","20,000","19,000","16,000","16,000","12,000","8,000"
71,สงขลา,Songkhla,"11,000","11,000","11,000","10,500","9,900","7,590","6,435","20,000","20,000","20,000","20,000","20,000","20,000","19,000","16,000","16,000","12,000","8,000"
72,สุโขทัย,Sukhothai,"5,000","5,000","5,000","4,500","3,700","2,700",0,"10,000","10,000","10,000","10,000","8,800","7,800","6,600","5,000","3,000",0,0
73,สุพรรณบุรี,Suphan Buri,"2,000","2,000","1,200",800,400,0,0,"4,000","3,500","3,500","2,500","1,500","1,000",0,0,0,0,0
74,สุราษฎร์ธานี,Surat Thani,"8,000","8,000","8,000","7,500","6,560","5,040","3,920","16,000","16,000","16,000","16,000","16,000","16,000","14,400","10,720","10,240","8,320",0
75,สุรินทร์,Surin,"4,500","4,500","4,500","4,000","3,240","2,340",0,"10,000","10,000","10,000","10,000","8,800","7,800","6,600","5,000","3,000",0,0
76,แม่สอด,Tak,"8,000","8,000","8,000","7,500","6,560","5,040","3,920","12,000","12,000","12,000","12,000","11,040","10,320","8,880","6,960","5,040",0,0
77,ตาก,Tak,"5,500","5,500","5,500","5,000","4,180","3,080","2,090","9,500","9,500","9,500","9,500","8,265","7,220","6,080","4,560",0,0,0
78,ตรัง,Trang,"10,000","10,000","10,000","9,500","9,000","6,700","5,700","19,000","19,000","19,000","19,000","19,000","19,000","18,050","14,440","14,440","11,400","7,600"
79,คลองใหญ่,Trat,"1,500","1,500",500,0,0,0,0,"3,000","2,000","1,500","1,000",0,0,0,0,0,0,0
80,ตราด,Trat,"1,500","1,500",500,0,0,0,0,"3,000","2,000","1,500","1,000",0,0,0,0,0,0,0
81,อุบลช่องเม็ก,Ubon Ratchathani,"7,500","7,500","7,500","7,000","6,075","4,650","3,525","15,000","15,000","15,000","15,000","14,700","14,700","12,900","9,750","9,000","7,200",0
82,อุบลราชธานี,Ubon Ratchathani,"7,000","7,000","7,000","6,500","5,600","4,270","3,150","14,000","14,000","14,000","14,000","13,440","13,160","11,480","8,820","7,560","6,160",0
83,อุดรธานี,Udon Thani,"6,500","6,500","6,500","6,000","5,135","3,900","2,795","13,000","13,000","13,000","13,000","12,220","11,700","10,140","7,930","6,240","5,200",0
84,อุทัยธานี,Uthai Thani,"2,600","2,600","2,000","1,500","1,000",0,0,"6,500","6,500","6,500","5,500","4,865","4,160","2,860",0,0,0,0
85,อุตรดิตถ์,Uttaradit,"5,000","5,000","5,000","4,500","3,700","2,700",0,"11,000","11,000","11,000","11,000","9,900","9,020","7,700","5,940","3,960",0,0
86,ยะลา,Yala,"12,000","12,000","12,000","11,500","10,800","8,400","7,200","23,000","23,000","23,000","23,000","23,000","23,000","21,850","20,700","18,400","13,800","9,200"
87,ยโสธร,Yasothon,"6,000","6,000","6,000","5,500","4,680","3,480","2,460","12,500","12,500","12,500","12,500","11,625","11,000","9,500","7,500","5,625",0,0
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"So, in this case need to write to user: ""Order of such volume we will need to deliver by 6-wheels truck only due to weight limitations.",,,,,,,,,,,
,,,,,,,,,"Kindly contact our sales representative, to find and calculate cheapest delivery option for your case""",,,,,,,,,,,